Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,General Government,Community Development Agency,CDA-Lead Grants,Other Charges,Other Charges,Total of Other Charges,271700,271700
2014,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,522661,522661
2015,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,541474,541474
2013,General Government,Community Development Agency,CDA-Lead Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,553759,429815
2013,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1380540,1264484
2014,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1479064,1479064
2015,General Government,Community Development Agency,CDA-Lead Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1783677,1783677
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2654367,-2654367
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2605733,-2605733
2013,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1222612,-1222612
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1237329,-1237329
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1117151,-1117151
2014,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988,6988
2015,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988,6988
2013,General Government,Community Development Agency,Community Development Agency,Fixed Assets,Fixed Assets,Total of Fixed Assets,6988,6988
2015,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1467666,1506568
2014,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1483967,1483967
2013,General Government,Community Development Agency,Community Development Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1508904,1508904
2014,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5397563,5390015
2013,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5411839,5573888
2015,General Government,Community Development Agency,Community Development Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5485243,5565697
2013,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11969967,11807918
2014,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12321096,12200528
2015,General Government,Community Development Agency,Community Development Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12786979,12710185
2015,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1242422,-1242422
2014,General Government,Community Development Agency,Community Development Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-933671,-933671
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-242502,-242502
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-217269,-217269
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-210242,-210242
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70681,71182
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,75946,75946
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,79038,79038
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,417873,417873
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,441906,441906
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,472093,472093
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,566293,566293
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,677296,806139
2014,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,701311,701311
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,705230,705230
2015,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Other Charges,Other Charges,Total of Other Charges,904429,904429
2013,General Government,Community Development Agency,Neighborhood Preservation & Sustainability,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1007402,1007402
2015,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,107950,108715
2013,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,108856,108856
2014,General Government,Community Development Agency,RDA Successor Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,115656,115656
2013,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1020536,1020536
2014,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1028979,1028979
2015,General Government,Community Development Agency,RDA Successor Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1074314,1074314
2014,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1369400,1369400
2015,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1407171,1407171
2013,General Government,Community Development Agency,RDA Successor Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2077930,2077930
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000,-60000
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000,-60000
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-60000,-60000
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,114619,114619
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,185436,185436
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,185436,185436
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,294729,294729
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,303700,304665
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,316326,316326
2013,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1273020,1273020
2014,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1288825,1288825
2015,General Government,County Administrator's Office,"Clerk, Board of Supervisors",Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1408560,1408560
2013,General Government,County Administrator's Office,County Administrator - East Bay EDA,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,17273,17273
2014,General Government,County Administrator's Office,County Administrator - East Bay EDA,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,17422,17422
2015,General Government,County Administrator's Office,County Administrator - East Bay EDA,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,63512,17560
2015,General Government,County Administrator's Office,County Administrator - East Bay EDA,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,214756,261506
2014,General Government,County Administrator's Office,County Administrator - East Bay EDA,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,261506,261506
